23/04/01, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/07/15, 増速機 加速度 後方Z (m/s^2), 主軸軸受温度 (degC), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 油圧ﾕﾆｯﾄ ﾖｰﾌﾞﾚｰｷ ｷｬﾘﾊﾟｰ油圧 (MPa)
23/07/16, 増速機 加速度 後方Z (m/s^2), 油圧ﾕﾆｯﾄ ﾖｰﾌﾞﾚｰｷ ｷｬﾘﾊﾟｰ油圧 (MPa), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/07/17, 増速機 加速度 後方Z (m/s^2), 油圧ﾕﾆｯﾄ ﾖｰﾌﾞﾚｰｷ ｷｬﾘﾊﾟｰ油圧 (MPa), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 増速機 軸受温度 HSS前方 (degC)
23/07/18, 増速機 加速度 後方Z (m/s^2), 油圧ﾕﾆｯﾄ ﾖｰﾌﾞﾚｰｷ ｷｬﾘﾊﾟｰ油圧 (MPa), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/07/19, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾊﾌﾞ内温度 (degC), 絶対ﾅｾﾙ方位角θ1 (deg), 増速機 軸受温度 HSS前方 (degC)
23/07/20, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾊﾌﾞ内温度 (degC), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/07/21, 増速機 加速度 後方Z (m/s^2), 発電機回転速度 (min-1), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/07/22, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 増速機 軸受温度 HSS前方 (degC), 油圧ﾕﾆｯﾄ ﾖｰﾌﾞﾚｰｷ ｷｬﾘﾊﾟｰ油圧 (MPa), 絶対ﾅｾﾙ方位角θ1 (deg)
23/07/23, 増速機 加速度 後方Z (m/s^2), 増速機 軸受温度 HSS前方 (degC), ﾅｾﾙ方位角 (0-360) (deg), 油圧ﾕﾆｯﾄ ﾖｰﾌﾞﾚｰｷ ｷｬﾘﾊﾟｰ油圧 (MPa), 増速機 軸受温度 HIS後方 (degC)
23/07/24, 増速機 加速度 後方Z (m/s^2), 増速機 軸受温度 HSS前方 (degC), ﾅｾﾙ方位角 (0-360) (deg), 増速機 軸受温度 HIS後方 (degC), ﾊﾌﾞ内温度 (degC)
23/07/25, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 油圧ﾕﾆｯﾄ ﾖｰﾌﾞﾚｰｷ ｷｬﾘﾊﾟｰ油圧 (MPa), 増速機 軸受温度 HSS前方 (degC), 絶対ﾅｾﾙ方位角θ1 (deg)
23/07/26, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 油圧ﾕﾆｯﾄ ﾖｰﾌﾞﾚｰｷ ｷｬﾘﾊﾟｰ油圧 (MPa), ﾊﾌﾞ内温度 (degC), 絶対ﾅｾﾙ方位角θ1 (deg)
23/07/27, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), ﾊﾌﾞ内温度 (degC)
23/07/28, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/07/29, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ角度 B1(外部軸) (deg), 絶対ﾅｾﾙ方位角θ1 (deg)
23/07/30, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/07/31, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V)
23/08/01, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ1 充電率 (%)
23/08/02, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾋﾟｯﾁ1 充電率 (%), 絶対ﾅｾﾙ方位角θ1 (deg)
23/08/03, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/08/04, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/08/05, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/08/06, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/08/07, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/08/08, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/08/09, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg), 増速機 加速度 後方Z (m/s^2)
23/08/10, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), PCS 101 有効電力指令 (kW), ﾅｾﾙ方位角 (0-360) (deg), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW)
23/08/11, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/08/12, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/08/13, ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ角度 A1(ﾓｰﾀｰ軸) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/08/14, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/08/15, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/08/16, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/08/17, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/08/18, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/08/19, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/08/20, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ角度 B1(外部軸) (deg), 絶対ﾅｾﾙ方位角θ1 (deg)
23/08/21, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/08/22, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg)
23/08/23, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V)
23/08/24, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/08/25, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/08/26, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/08/27, ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 増速機 加速度 後方Z (m/s^2), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/08/28, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/08/29, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 発電機 ｽﾃｰﾀｰU相温度 (degC), 絶対風向 右側 (deg)
23/08/30, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/08/31, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/09/01, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/09/02, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/09/03, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/09/04, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 充電率 (%), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/09/05, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/09/06, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/09/07, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/09/08, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/09/09, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/09/10, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ角度 B1(外部軸) (deg), 絶対ﾅｾﾙ方位角θ1 (deg)
23/09/11, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/09/12, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ角度 A1(ﾓｰﾀｰ軸) (deg), 絶対ﾅｾﾙ方位角θ1 (deg)
23/09/13, ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/09/14, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 増速機 加速度 後方Z (m/s^2), 絶対ﾅｾﾙ方位角θ2 (deg)
23/09/15, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/09/16, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/09/17, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/09/18, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/09/19, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/09/20, ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 増速機 加速度 後方Z (m/s^2)
23/09/21, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW)
23/09/22, ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/09/23, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/09/24, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/09/25, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/09/26, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/09/27, ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 増速機 加速度 後方Z (m/s^2), 絶対風向 右側 (deg)
23/09/28, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/09/29, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/09/30, ﾋﾟｯﾁ1 充電率 (%), ﾋﾟｯﾁ角度 A1(ﾓｰﾀｰ軸) (deg), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/10/01, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/10/02, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/10/03, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 増速機 加速度 後方Z (m/s^2), 絶対ﾅｾﾙ方位角θ2 (deg)
23/10/04, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/10/05, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW)
23/10/06, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/10/07, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/10/08, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/10/09, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/10/10, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/10/11, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/10/12, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/10/13, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/10/14, ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 増速機 加速度 後方Z (m/s^2), 絶対ﾅｾﾙ方位角θ1 (deg)
23/10/15, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/10/16, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 発電機ｼｽﾃﾑ電力 (kW), PCS 101 有効電力指令 (kW)
23/10/17, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 発電機ｼｽﾃﾑ電力 (kW), PCS 101 有効電力指令 (kW)
23/10/18, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ角度 B1(外部軸) (deg), 絶対ﾅｾﾙ方位角θ1 (deg)
23/10/19, ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 増速機 加速度 後方Z (m/s^2), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ角度 A1(ﾓｰﾀｰ軸) (deg)
23/10/20, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 充電率 (%), PCS 101 有効電力指令 (kW), 絶対ﾅｾﾙ方位角θ1 (deg)
23/10/21, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW), ﾅｾﾙ方位角 (0-360) (deg), PCS 08 ｼｽﾃﾑ有効電力 (kW)
23/10/22, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 発電機ｼｽﾃﾑ電力 (kW)
23/10/23, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V)
23/10/24, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/10/25, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/10/26, ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 増速機 加速度 後方Z (m/s^2), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/10/27, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 充電率 (%), 絶対ﾅｾﾙ方位角θ1 (deg), 増速機 加速度 後方Z (m/s^2)
